"Name","State","finished_run","METHOD.METHOD_NAME","Tags","Created","Runtime","SOLVER.BASE_LR","SOLVER.OPTIMIZING_METHOD","SOLVER.MOMENTUM","SOLVER.NESTEROV","METHOD.REPLAY.MEMORY_SIZE_SAMPLES","METHOD.REPLAY.STORAGE_POLICY","OUTPUT_DIR","adhoc_users_aggregate/train_action_batch/AG_cumul/mean","adhoc_users_aggregate/train_noun_batch/AG_cumul/mean","adhoc_users_aggregate/train_action_batch/AG_cumul/SE","adhoc_users_aggregate/train_noun_batch/AG_cumul/SE","adhoc_users_aggregate/train_verb_batch/AG_cumul/SE","adhoc_users_aggregate/user_aggregate_count","User","Notes","adhoc_users_aggregate/train_verb_batch/AG_cumul/mean"
"Replay_2022-09-15_18-23-13_UID09ab4f67-814b-4331-aa80-839cd99a1d9f","finished","true","Replay","","2022-09-16T01:23:21.000Z","40208","0.01","sgd","0","true","1000000","window","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=1000000_METHOD-REPLAY-STORAGE_POLICY=window/2022-09-15_18-23-13_UID09ab4f67-814b-4331-aa80-839cd99a1d9f","8.085069964626893","6.396816641532301","1.532779371495551","1.0793703473814336","0.6450976230565539","10","matthiasdelange","-","1.6882534438439567"
"Replay_2022-09-15_18-20-13_UID30c05856-ca5b-47ed-9157-fb65ef3a1664","finished","true","Replay","","2022-09-16T01:20:19.000Z","40439","0.01","sgd","0","true","1000000","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=1000000_METHOD-REPLAY-STORAGE_POLICY=reservoir_stream/2022-09-15_18-20-13_UID30c05856-ca5b-47ed-9157-fb65ef3a1664","7.962742918268974","6.282306124496566","1.5381986131048655","1.0689668659445148","0.6464819564052539","10","matthiasdelange","-","1.6804369074652008"
"Replay_2022-09-15_18-24-54_UID3743b40f-c145-4521-b911-98e4867dfe3e","finished","true","Replay","","2022-09-16T01:25:03.000Z","39536","0.01","sgd","0","true","1000000","reservoir_action","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=1000000_METHOD-REPLAY-STORAGE_POLICY=reservoir_action/2022-09-15_18-24-54_UID3743b40f-c145-4521-b911-98e4867dfe3e","8.110090159721768","6.350356565073878","1.5148130115085756","1.062916104177999","0.6431453580779569","10","matthiasdelange","-","1.7597336217397583"
"Replay_2022-09-15_18-20-06_UID89c62a3e-cd4b-4b13-b30f-74e061f5f284","finished","true","Replay","","2022-09-16T01:20:11.000Z","40258","0.01","sgd","0","true","128","reservoir_stream","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=128_METHOD-REPLAY-STORAGE_POLICY=reservoir_stream/2022-09-15_18-20-06_UID89c62a3e-cd4b-4b13-b30f-74e061f5f284","7.936278306716312","6.310890139210401","1.519317495242544","1.0690334492704232","0.6429494293043179","10","matthiasdelange","-","1.6253882378894626"
"Replay_2022-09-15_18-24-37_UIDd2da90e9-62f7-43ee-8f85-e773567dcdab","finished","true","Replay","","2022-09-16T01:24:46.000Z","40146","0.01","sgd","0","true","128","reservoir_action","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=128_METHOD-REPLAY-STORAGE_POLICY=reservoir_action/2022-09-15_18-24-37_UIDd2da90e9-62f7-43ee-8f85-e773567dcdab","7.987595360437385","6.3440746427946975","1.5078894855447476","1.0663898490749923","0.6375104012944524","10","matthiasdelange","-","1.643520885898282"
"Replay_2022-09-15_18-22-48_UID04c2f279-5073-4dec-b6f0-905bdcc099ff","finished","true","Replay","","2022-09-16T01:22:55.000Z","40015","0.01","sgd","0","true","64","window","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=64_METHOD-REPLAY-STORAGE_POLICY=window/2022-09-15_18-22-48_UID04c2f279-5073-4dec-b6f0-905bdcc099ff","7.923895584000789","6.299219256480532","1.4801600944637234","1.0354066123655008","0.6420757981384838","10","matthiasdelange","-","1.6246761348885717"
"Replay_2022-09-15_18-23-06_UID1557b00b-a4b0-45c3-b444-bc2459ecad5e","finished","true","Replay","","2022-09-16T01:23:14.000Z","39877","0.01","sgd","0","true","128","window","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=128_METHOD-REPLAY-STORAGE_POLICY=window/2022-09-15_18-23-06_UID1557b00b-a4b0-45c3-b444-bc2459ecad5e","7.96687845597201","6.320032371964648","1.5144554960551266","1.0702300192423986","0.6348818593590854","10","matthiasdelange","-","1.646846039674477"
"Replay_2022-09-15_18-20-43_UID472f48d3-b957-4b07-9596-f71cfd7add04","finished","true","Replay","","2022-09-16T01:20:49.000Z","39503","0.01","sgd","0","true","8","window","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=8_METHOD-REPLAY-STORAGE_POLICY=window/2022-09-15_18-20-43_UID472f48d3-b957-4b07-9596-f71cfd7add04","7.593849358098001","6.148561133487233","1.630526934323296","1.1268645993375142","0.6690940384356201","10","matthiasdelange","-","1.445288164848871"
"Replay_2022-09-15_18-24-07_UIDef2d7443-d0b8-4ce0-a040-e24e20168b22","finished","true","Replay","","2022-09-16T01:24:15.000Z","34412","0.01","sgd","0","true","64","reservoir_action","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=64_METHOD-REPLAY-STORAGE_POLICY=reservoir_action/2022-09-15_18-24-07_UIDef2d7443-d0b8-4ce0-a040-e24e20168b22","7.985204465591029","6.292727891890333","1.5740463229897084","1.101861834169783","0.6545110406270186","10","matthiasdelange","-","1.6924764198032414"
"Replay_2022-09-15_18-24-00_UIDadc3b2c4-5785-4be4-8e50-32d0551a1eee","finished","true","Replay","","2022-09-16T01:24:07.000Z","14045","0.01","sgd","0","true","8","reservoir_action","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final02_01_replay/../../../results/ego4d_action_recog/final02_01_replay/logs/GRID_METHOD-REPLAY-MEMORY_SIZE_SAMPLES=8_METHOD-REPLAY-STORAGE_POLICY=reservoir_action/2022-09-15_18-24-00_UIDadc3b2c4-5785-4be4-8e50-32d0551a1eee","7.964227665250746","6.246563261720256","1.5617124540327298","1.0863623367946236","0.6484449814258638","10","matthiasdelange","-","1.7176644555496448"
